External code,Vendor,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A0S9V9,F,6,0.9849541783332825,0.9462642073631287,0.7878129482269287,0.9046691060066223,0.9898752570152283,0.9260740876197815,0.7914402484893799,0.8533610701560974,0.9703543782234192,0.8980089426040649,0.6499103307723999,0.8259322643280029,0.9799534678459167,0.8623258471488953,0.6548623442649841,0.7442283034324646
A1D0Q7,B,2,0.9650857448577881,0.906741201877594,0.767271101474762,0.738007664680481,0.9715522527694702,0.7318534851074219,0.6802772283554077,0.5838680267333984,0.9325273036956787,0.8293930292129517,0.6224167346954346,0.5847956538200378,0.9446782469749451,0.5771048665046692,0.5154697895050049,0.41229772567749023
A1D9Z7,A,1,0.9447436332702637,0.7104272246360779,0.5305601358413696,0.7212504744529724,0.947501003742218,0.5563472509384155,0.34929561614990234,0.684043824672699,0.8952739834785461,0.5509011745452881,0.36106282472610474,0.5640279054641724,0.9002393484115601,0.38537469506263733,0.21160396933555603,0.5198074579238892
A1E9Q1,F,6,0.9902363419532776,0.9629815220832825,0.838590145111084,0.9473894834518433,0.991402268409729,0.9401739835739136,0.8333333134651184,0.9124939441680908,0.9806615114212036,0.9286059141159058,0.7220449447631836,0.9000380039215088,0.9829510450363159,0.8871021270751953,0.7142857313156128,0.8390702605247498
A1K2P5,D,5,0.9818239808082581,0.9261144995689392,0.7608951926231384,0.9047480225563049,0.9887206554412842,0.9024999737739563,0.8164963126182556,0.8772812485694885,0.9642968773841858,0.8623958826065063,0.6140684485435486,0.8260638117790222,0.9776929020881653,0.8223234415054321,0.6898975372314453,0.7813900113105774
A1O8Z3,B,3,0.9767013192176819,0.9566739201545715,0.7305741906166077,0.8893204927444458,0.9847511053085327,0.8825177550315857,0.8163652420043945,0.8463142514228821,0.954463541507721,0.9169462323188782,0.5755154490470886,0.8006994724273682,0.9699603319168091,0.7897376418113708,0.6897104382514954,0.733574390411377
A2C0I1,F,6,0.9906076788902283,0.9525429010391235,0.8567802309989929,0.9447249174118042,0.99396812915802,0.8977231383323669,0.8537297248840332,0.9315589070320129,0.981390118598938,0.9093860387802124,0.7494449019432068,0.8952404260635376,0.9880086183547974,0.8144262433052063,0.744789183139801,0.871886134147644
A2E3W4,C,4,,,,,,,,,,,,,,,,
A2H5K9,B,2,0.9815309047698975,0.9294571280479431,0.8135313987731934,0.9216901063919067,0.9794206619262695,0.6758056879043579,0.7076033353805542,0.7253232002258301,0.9637316465377808,0.868211030960083,0.6856746673583984,0.8547543883323669,0.9596711993217468,0.5103523135185242,0.5475125312805176,0.5690251588821411
A2L1N6,F,6,0.9910506010055542,0.9567431807518005,0.8545748591423035,0.9114528894424438,0.992737352848053,0.9394470453262329,0.8353351950645447,0.889545202255249,0.9822599291801453,0.9170734286308289,0.7460765838623047,0.8373113870620728,0.9855794906616211,0.8858087062835693,0.7172322869300842,0.8010638356208801
