External code,Vendor,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A0S9V9,F,6,0.9930248856544495,0.9625703692436218,0.8656116127967834,0.9495120644569397,0.9951021671295166,0.9538415670394897,0.8754583597183228,0.9258207082748413,0.9861463904380798,0.9278416037559509,0.7630645632743835,0.9038771390914917,0.9902520775794983,0.9117563366889954,0.7785024046897888,0.8618865609169006
A1D0Q7,B,2,0.9667497873306274,0.9116420745849609,0.7724528908729553,0.7392544746398926,0.9699938297271729,0.7797524333000183,0.7231206893920898,0.4846790134906769,0.9356396198272705,0.8376306891441345,0.6292653679847717,0.5863629579544067,0.9417359232902527,0.6390116214752197,0.5663187503814697,0.31985238194465637
A1D9Z7,A,1,0.9567044973373413,0.8461955785751343,0.7150644063949585,0.7513819336891174,0.9495067596435547,0.659494161605835,0.5915696620941162,0.7075920701026917,0.9170023798942566,0.7333959937095642,0.5564982295036316,0.60177081823349,0.9038675427436829,0.4919740855693817,0.42002052068710327,0.5474990010261536
A1E9Q1,F,6,0.9893796443939209,0.9643462300300598,0.8522082567214966,0.9462968707084656,0.9941216707229614,0.95509272813797,0.8873163461685181,0.939075231552124,0.9789825081825256,0.9311473369598389,0.7424764037132263,0.8980677723884583,0.9883120656013489,0.9140453934669495,0.7974560260772705,0.8851478099822998
A1K2P5,D,5,0.9827455878257751,0.9274168014526367,0.7817631363868713,0.9107828140258789,0.9871372580528259,0.8927608132362366,0.8459596633911133,0.857293963432312,0.9660764932632446,0.8646572828292847,0.6417168378829956,0.836181104183197,0.9746012091636658,0.8062944412231445,0.7330417037010193,0.7502314448356628
A1O8Z3,B,3,0.9789128303527832,0.9576069712638855,0.797082245349884,0.8762086033821106,0.9814088940620422,0.8951308131217957,0.8541568517684937,0.7540493607521057,0.9586966633796692,0.9186621308326721,0.6626240611076355,0.7796897292137146,0.9634963870048523,0.8101690411567688,0.7454395294189453,0.6051999926567078
A2C0I1,F,6,0.9959768056869507,0.9738277792930603,0.9265355467796326,0.9750224947929382,0.9973210692405701,0.9562812447547913,0.936720073223114,0.9681381583213806,0.9919859170913696,0.9489905834197998,0.8631263971328735,0.951262354850769,0.9946563839912415,0.916225016117096,0.8809722661972046,0.9382439255714417
A2E3W4,C,4,,,,,,,,,,,,,,,,
A2H5K9,B,2,0.9820037484169006,0.9498873353004456,0.8373582363128662,0.9273123741149902,0.9769375920295715,0.7080118060112,0.7126573324203491,0.746968150138855,0.9646438360214233,0.9045575261116028,0.7202203869819641,0.864475667476654,0.954914927482605,0.548001766204834,0.5535878539085388,0.5961286425590515
A2L1N6,F,6,0.9957664012908936,0.9796898365020752,0.9326310157775879,0.9641740322113037,0.9972642064094543,0.9691342711448669,0.9313052892684937,0.9561926126480103,0.9915684461593628,0.9601882100105286,0.873766303062439,0.9308263063430786,0.9945433139801025,0.9401168823242188,0.8714418411254883,0.9160623550415039
