External code,Vendor,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A0S9V9,F,6,0.9918693900108337,0.968160092830658,0.868251383304596,0.9456761479377747,0.9938861727714539,0.9549161195755005,0.8534240126609802,0.9245957732200623,0.9838699102401733,0.938285231590271,0.7671769261360168,0.896950364112854,0.9878466129302979,0.9137219190597534,0.7443240284919739,0.8597657680511475
A1D0Q7,B,2,0.9641287326812744,0.9192349910736084,0.7631659507751465,0.7387301325798035,0.9729329347610474,0.7483652830123901,0.6821288466453552,0.700062096118927,0.9307417869567871,0.8505410552024841,0.6170318722724915,0.5857034921646118,0.9472925662994385,0.5979102849960327,0.5175990462303162,0.5385350584983826
A1D9Z7,A,1,0.9637592434883118,0.8610615134239197,0.619081437587738,0.8072242140769958,0.9623209238052368,0.6717539429664612,0.5216410160064697,0.7517418265342712,0.9300534129142761,0.7560210227966309,0.44831132888793945,0.6767610907554626,0.9273781180381775,0.5057451128959656,0.35285139083862305,0.6022326946258545
A1E9Q1,F,6,0.9899846315383911,0.9630748629570007,0.8421454429626465,0.9401796460151672,0.9926236271858215,0.9400355815887451,0.8532384037971497,0.92390376329422,0.9801679253578186,0.9287795424461365,0.7273327112197876,0.8871123194694519,0.9853553175926208,0.8868557810783386,0.7440416216850281,0.8585698008537292
A1K2P5,D,5,0.9832724928855896,0.9313215613365173,0.7397459745407104,0.9146576523780823,0.988098680973053,0.8737985491752625,0.8136382699012756,0.8639140725135803,0.9670954346656799,0.8714703321456909,0.5869816541671753,0.842736542224884,0.976477324962616,0.7758812308311462,0.6858264207839966,0.7604302167892456
A1O8Z3,B,3,0.9839632511138916,0.9655719995498657,0.7858479022979736,0.9238430261611938,0.9889835119247437,0.9363902807235718,0.8555693626403809,0.8476276993751526,0.9684327244758606,0.9334356188774109,0.6472401022911072,0.8584649562835693,0.9782071709632874,0.8803890347480774,0.7475939393043518,0.7355501651763916
A2C0I1,F,6,0.9956887364387512,0.9757683277130127,0.9270785450935364,0.9710308313369751,0.996625542640686,0.9540190696716309,0.9256198406219482,0.9546771049499512,0.991414487361908,0.95268315076828,0.8640693426132202,0.9436928629875183,0.9932737946510315,0.9120807647705078,0.8615384697914124,0.9132843613624573
A2E3W4,C,4,,,,,,,,,,,,,,,,
A2H5K9,B,2,0.9875998497009277,0.941727340221405,0.8694367408752441,0.9330926537513733,0.9832307696342468,0.7549019455909729,0.7922568321228027,0.83006352186203,0.9755035042762756,0.889872133731842,0.7690296769142151,0.8745770454406738,0.967014729976654,0.6062992215156555,0.6559812426567078,0.7094944715499878
A2L1N6,F,6,0.9949739575386047,0.9697796106338501,0.9095916152000427,0.9577213525772095,0.9962193369865417,0.9584960341453552,0.9069378972053528,0.936472475528717,0.9899981617927551,0.941332221031189,0.8341752290725708,0.9188727140426636,0.9924671053886414,0.9202998876571655,0.8297222256660461,0.880534291267395
