External code,Vendor,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A0S9V9,F,6,0.9695041179656982,0.902255654335022,0.7630836367607117,0.8409695029258728,0.9740043878555298,0.9034281373023987,0.7785125970840454,0.6755682229995728,0.9408131241798401,0.8219178318977356,0.6169241666793823,0.7255801558494568,0.9493260979652405,0.8238658308982849,0.6373480558395386,0.5100815296173096
A1D0Q7,B,2,0.962267279624939,0.9118881225585938,0.795685350894928,0.7294034957885742,0.965658962726593,0.7952241897583008,0.6142874956130981,0.7852537035942078,0.9272785186767578,0.8380462527275085,0.6606955528259277,0.5740638375282288,0.9335981607437134,0.660059928894043,0.4433008134365082,0.6464343070983887
A1D9Z7,A,1,0.9265801310539246,0.7831234335899353,0.5706663727760315,0.6733977198600769,0.9065844416618347,0.5018236041069031,0.2999967336654663,0.4665988087654114,0.8632038235664368,0.6435520052909851,0.3992534577846527,0.5076109170913696,0.8291307091712952,0.3349563181400299,0.17646831274032593,0.30429011583328247
A1E9Q1,F,6,0.9779452085494995,0.9417758584022522,0.7853166460990906,0.8571615815162659,0.9828428030014038,0.920466423034668,0.7906880378723145,0.8226795196533203,0.9568422436714172,0.8899587988853455,0.6465196013450623,0.750028669834137,0.9662644863128662,0.8526519536972046,0.6538329720497131,0.6987727880477905
A1K2P5,D,5,0.9729832410812378,0.9398376941680908,0.7784430980682373,0.8501391410827637,0.9779218435287476,0.8859458565711975,0.8351384997367859,0.7230046987533569,0.9473878145217896,0.8865035772323608,0.6372548937797546,0.7393409013748169,0.9567975401878357,0.7952449321746826,0.716942310333252,0.5661764740943909
A1O8Z3,B,3,0.9814550876617432,0.9372183680534363,0.7378442883491516,0.9133204817771912,0.9899501204490662,0.9182447195053101,0.8453250527381897,0.8595211505889893,0.9635854959487915,0.8818541765213013,0.584590494632721,0.8404690027236938,0.9801002144813538,0.8488470315933228,0.7320891618728638,0.7536494135856628
A2C0I1,F,6,0.9879555702209473,0.9499380588531494,0.865217387676239,0.9278427362442017,0.9842350482940674,0.781734824180603,0.8008996248245239,0.8309022784233093,0.9761978387832642,0.904649555683136,0.7624521255493164,0.8653979897499084,0.9689595103263855,0.6416786909103394,0.6679170727729797,0.7107210159301758
A2E3W4,C,4,,,,,,,,,,,,,,,,
A2H5K9,B,2,0.967322051525116,0.9434976577758789,0.747398316860199,0.8078268766403198,0.9500489234924316,0.48446300625801086,0.2891829311847687,0.5556240081787109,0.9367122650146484,0.893038809299469,0.596676766872406,0.6776087284088135,0.9048506617546082,0.31966426968574524,0.16903206706047058,0.38468098640441895
A2L1N6,F,6,0.9752820134162903,0.9140931963920593,0.7829566597938538,0.8232269287109375,0.9773173928260803,0.8466536402702332,0.7469661831855774,0.7356603145599365,0.9517565369606018,0.8417786955833435,0.6433268189430237,0.6995630264282227,0.955640971660614,0.73408442735672,0.596126139163971,0.5818533897399902
A2N8V0,F,6,0.9795095920562744,0.9061089158058167,0.7419087886810303,0.9097872376441956,0.9867882132530212,0.871460497379303,0.7675210237503052,0.8700189590454102,0.9598420262336731,0.8283355832099915,0.5897098779678345,0.8345043659210205,0.973921000957489,0.7722020745277405,0.62274569272995,0.7699412107467651
A3B7E5,B,2,0.979057788848877,0.9135842323303223,0.7678042650222778,0.8265706300735474,0.9691977500915527,0.7278090119361877,0.5265496373176575,0.7250818014144897,0.9589747190475464,0.8409157991409302,0.6231186985969543,0.7044059634208679,0.9402363300323486,0.5720909833908081,0.35735827684402466,0.5687281489372253
A3H1O5,F,6,0.9855923652648926,0.9291272759437561,0.8057509064674377,0.9357068538665771,0.9898271560668945,0.8773130178451538,0.801048755645752,0.9128651022911072,0.971593976020813,0.8676356077194214,0.6746925115585327,0.879181444644928,0.9798591732978821,0.7814404368400574,0.6681245565414429,0.8396981358528137
A3H5R1,C,4,0.982533872127533,0.8801546692848206,0.7099438905715942,0.882369339466095,0.9813997745513916,0.6740649342536926,0.6443403363227844,0.6306827068328857,0.9656673669815063,0.7859609723091125,0.5503201484680176,0.7894999384880066,0.9634788632392883,0.508369505405426,0.4752965271472931,0.46058183908462524
A3P9V7,D,5,0.9526820778846741,0.8591267466545105,0.7121220231056213,0.5185346007347107,0.9555699825286865,0.8212953209877014,0.7191537022590637,0.32030460238456726,0.909639835357666,0.7530431151390076,0.552942156791687,0.3500146269798279,0.9149200916290283,0.6967778205871582,0.5614675879478455,0.19069206714630127
A4A8V9,B,3,0.9741794466972351,0.9179025292396545,0.8094275593757629,0.7894055247306824,0.9689733386039734,0.5861400365829468,0.7008069753646851,0.4227053225040436,0.9496586918830872,0.8482623100280762,0.6798641681671143,0.6520808935165405,0.9398140907287598,0.414567232131958,0.5394171476364136,0.26799386739730835
A4B5U4,F,6,0.9615278244018555,0.9109726548194885,0.7761600613594055,0.7293124794960022,0.9651405215263367,0.915996253490448,0.7695315480232239,0.6838241219520569,0.9259061813354492,0.8365012407302856,0.6342006325721741,0.5739510655403137,0.9326295256614685,0.8450121283531189,0.625397264957428,0.5195537805557251
A4B9O6,D,5,0.9729393124580383,0.8915274739265442,0.8187260627746582,0.8292646408081055,0.9693843126296997,0.6577062606811523,0.7608409523963928,0.7284755110740662,0.9473045468330383,0.8042846918106079,0.6930873990058899,0.7083279490470886,0.94058758020401,0.4899868369102478,0.6139978170394897,0.5729150176048279
A4J4S4,F,6,0.9741193056106567,0.8921389579772949,0.7346875667572021,0.904893159866333,0.9867632389068604,0.8333333134651184,0.7577076554298401,0.8389983773231506,0.9495444297790527,0.8052805066108704,0.5806373357772827,0.8263058066368103,0.9738723635673523,0.7142857313156128,0.6099269986152649,0.7226504683494568
